Source IP,Source Port,Destination IP,Destinatino Port,Protocol,Num_pkts,Bytes,Stream ID,StoD Num_pkts,StoD bytes,DtoS Num_pkts,DtoS bytes,Captured Time,Duration,StoD bits/sec,DtoS bits/sec
192.168.0.38,28142,168.126.63.2,53,UDP,2,236,177,1,80,1,156,170.090361,0.222663,2874,5604
192.168.0.38,58501,168.126.63.2,53,UDP,2,298,178,1,80,1,218,170.090414,0.00541,118299,322365
192.168.0.38,29431,168.126.63.2,53,UDP,2,380,179,1,76,1,304,170.090952,0.007437,81753,327013
192.168.0.38,40159,168.126.63.2,53,UDP,2,255,180,1,76,1,179,170.090985,0.007404,82117,193408
192.168.0.38,61056,168.126.63.2,53,UDP,2,180,181,1,74,1,106,170.092891,0.005499,107655,154209
192.168.0.38,40935,168.126.63.2,53,UDP,2,205,182,1,74,1,131,170.092894,0.005495,107734,190718
192.168.0.38,54789,23.67.53.138,443,TCP,298,330866,45,62,5855,236,325011,170.098666,120.278575,389,21617
192.168.0.38,54790,211.231.100.117,443,TCP,128,105353,46,48,6744,80,98609,170.098775,122.844334,439,6421
192.168.0.38,50342,172.217.161.195,443,UDP,61,41169,183,24,3725,37,37444,170.099158,0.308357,96641,971445
192.168.0.38,47879,168.126.63.2,53,UDP,2,208,184,1,77,1,131,170.10947,0.218538,2818,4795
192.168.0.38,44637,168.126.63.2,53,UDP,2,259,185,1,77,1,182,170.109516,0.004997,,
